Unnamed, 0,Name,Price,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Tần số quét,Kiểu màn hình,Quay video,Tính năng camera,Quay video trước,GPU,GPS,Kích thước,Trọng lượng,Công nghệ sạc,Cổng sạc,"Chỉ số kháng nước, bụi",Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thời điểm ra mắt,Dung lượng RAM,Pin,Hồng ngoại,Hỗ trợ mạng,Cảm biến vân tay,Chất liệu mặt lưng,Chất liệu khung viền,Công nghệ - Tiện ích,Tương thích,Jack tai nghe 3.5,Tiện ích khác,Công nghệ âm thanh,Khe cắm thẻ nhớ,Hệ thống làm mát,Cảm biến,Loại màn hình
250,250,Tecno Pova 4,,https://cellphones.com.vn/tecno-pova-4.html,6.9 inches,IPS LCD,48 MP + 2 MP + 2 MP + 2 MP.,8 MP.,MediaTek Helio G95.,,128 GB,,,,,,,,,,,,,,,,,,,,,,,6 GB,7.000 mAh.,,,,,,,,,,,,,,
251,251,Tecno Camon 19,,https://cellphones.com.vn/tecno-camon-19.html,6.8 inches,IPS LCD,"Camera góc rộng: 64 MP, f/1.7, PDAFCamera góc sâu: 2 MP, f/2.4","Camera góc rộng: 16 MP, f/2.0,",MediaTek Helio G85 (12nm),Có,128 GB,2 SIM (Nano-SIM),"Android 12, HIOS 8.6",2460x1080 pixels,,"2x2,0 GHz Cortex-A75 & 6x1,8 GHz Cortex-A55",,,,,,,,,,,,,,,,,,4 GB,"Li-Po 5000 mAh, không thể tháo rời",,,,,,,,,,,,,,
252,252,Samsung Galaxy A34 5G 8GB 256GB,,https://cellphones.com.vn/samsung-galaxy-a34-8gb-256gb.html,6.6 inches,AMOLED,"Camera góc rộng: 48MP, f/1.8, 26mm , 1/2.0"", 0.8µm, PDAF, OISCamera góc siêu rộng: 8MP, f/2.2, 123, 1/4.0"", 1.12µmCamera macro: 5MP, f/2.4","Camera góc rộng: 13MP, f/2.2, 1/3.1"", 1.12µm",Dimensity 1080 (5 nm),Có,256 GB,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),Tần số quét 120HzCorning Gorilla Glass 5,2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55,,,,,,,,,,,,,,,,,,8 GB,5.000 mAh,,,,,,,,,,,,,,
253,253,Huawei Enjoy 50 Pro,,https://cellphones.com.vn/huawei-enjoy-50-pro.html,6.7 inches,,"Camera chính: 50 MP, f/1.8Macro 2 MP","8 MP,  f/2.0.",Qualcomm Snapdragon 680,Có,128 GB,,HarmonyOS 2.0,1080 x 2388 pixels,,,,,,,,,,,,,,,,,,,,8 GB,5.000 mA,,,,,,,,,,,,,,
254,254,Tecno Pova Neo 5G,,https://cellphones.com.vn/tecno-pova-neo-5g.html,6.8 inches,IPS LCD,"Camera góc rộng: 50 MP, AFQVGA",8 MP,MediaTek MT6833P Mật độ 810 (6 nm),Không,128 GB,2 SIM (Nano-SIM),Android 12,2460x1080 pixels,"IPS LCD, 120Hz, 500 nits","2x2,4 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",,,,,,,,,,,,,,,,,,4 GB,6000 mAh,,,,,,,,,,,,,,
255,255,OPPO Reno13F 4G 12GB - 256GB,,https://cellphones.com.vn/dien-thoai-oppo-reno13f-4g-12gb-256gb.html,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,12 GB,,,,,,,,,,,,,,,
256,256,OPPO Reno13F 5G 8GB-256GB,,https://cellphones.com.vn/dien-thoai-oppo-reno13f-5g-8gb-256gb.html,,,,,,,256 GB,,,,,,,,,,,,,,,,,,,,,,,8 GB,,,,,,,,,,,,,,,
257,257,OPPO Reno13F 5G 8GB-128GB,,https://cellphones.com.vn/dien-thoai-oppo-reno13f-5g-8gb-128gb.html,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,8 GB,,,,,,,,,,,,,,,
258,258,Tecno Pova Neo 2,,https://cellphones.com.vn/tecno-pova-neo-2.html,6.82 inches,IPS LCD,"Camera góc rộng: 16 MP,, AF",8 MP,MediaTek Helio G85 (12nm),Có,64 GB,2 SIM (Nano-SIM),Android 12,720 x 1640 pixels,"IPS LCD, 90Hz","2x2,0 GHz Cortex-A75 & 6x1,8 GHz Cortex-A55",,,,,,,,,,,,,,,,,,4 GB,7000 mAh,,,,,,,,,,,,,,
259,259,Bphone B86s,,https://cellphones.com.vn/bphone-b86s.html,6.1 inches,"Tràn đáy, Full HD+, rất nhạy & sáng, 2160x1080 pixels, 6.1"", công nghệ COF, Kính cường lực Gorilla Glass 5","Camera AI - Tiên phong nhiếp ảnh điện toán. Camera chính PDAF Dual pixel 2 cảm biến trong 1 ống kính (12Mp cho ảnh + 12Mp cho lấy nét), khẩu độ F/1.8 lấy nét cực nhanh và camera phụ hỗ trợ xóa phông chuyên nghiệp. Trí tuệ nhân tạo AI đem đến bức ảnh châ","Camera selfie góc rộng, chế độ làm đẹp tự nhiên",Qualcomm Snapdragon 675,,128 GB,Nano-SIM + eSIM,BOS 8.6 (Android 9),2160 x 1090 pixels,,"8 nhân: 2 nhân 2.0GHz Kryo Gold, 6 nhân 1.7GHz Kryo Silver",,,,,,,,,,,,,,,,,,4 GB,"Dùng thoải mái 1,5 ngày với chip tiết kiệm năng lượng cùng thiết kế phần cứng tối ưu cho viên pin 3.000mah, Quick Charge 4",,,,,,,,,,,,,,
260,260,Bphone B86s,,https://cellphones.com.vn/bphone-b86s.html,6.1 inches,"Tràn đáy, Full HD+, rất nhạy & sáng, 2160x1080 pixels, 6.1"", công nghệ COF, Kính cường lực Gorilla Glass 5","Camera AI - Tiên phong nhiếp ảnh điện toán. Camera chính PDAF Dual pixel 2 cảm biến trong 1 ống kính (12Mp cho ảnh + 12Mp cho lấy nét), khẩu độ F/1.8 lấy nét cực nhanh và camera phụ hỗ trợ xóa phông chuyên nghiệp. Trí tuệ nhân tạo AI đem đến bức ảnh châ","Camera selfie góc rộng, chế độ làm đẹp tự nhiên",Qualcomm Snapdragon 675,,128 GB,Nano-SIM + eSIM,BOS 8.6 (Android 9),2160 x 1090 pixels,,"8 nhân: 2 nhân 2.0GHz Kryo Gold, 6 nhân 1.7GHz Kryo Silver",,,,,,,,,,,,,,,,,,4 GB,"Dùng thoải mái 1,5 ngày với chip tiết kiệm năng lượng cùng thiết kế phần cứng tối ưu cho viên pin 3.000mah, Quick Charge 4",,,,,,,,,,,,,,
261,261,Samsung Galaxy Z Silde,,https://cellphones.com.vn/samsung-galaxy-z-silde.html,,Dynamic AMOLED 2X,3 camera 12 MP,12 MP,Snapdragon 895 8 nhân,,256 GB,,Android 11,,"Độ phân giải 2k+, tần số quét 120 Hz.",,,,,,,,,,,,,,,,,,,12 GB,4400 mAh,,,,,,,,,,,,,,
262,262,Samsung Galaxy A50s,6.990.000đ,https://cellphones.com.vn/samsung-galaxy-a50s.html,6.4 inches,Super AMOLED,"Chính 48 MP & Phụ 8 MP, 5 MP",32 MP,Exynos 9610 8 nhân 64-bit,,64 GB,2 SIM (Nano-SIM),Android v9.0 (Pie),1080 x 2340 pixels (FullHD+),,4 nhân 2.3 GHz và 4 nhân 1.7 GHz,,,,,,,,,,,,,,,,,,4 GB,Pin chuẩn Li-Po 4000 mAh,,,,,,,,,,,,,- Bảo mật vân tay dưới màn hình- Công nghệ nhận diện khuôn mặt- Công nghệ Neuro Game Booster tối ưu hóa khi chơi game,
263,263,Samsung Galaxy M21s,,https://cellphones.com.vn/samsung-galaxy-m21s.html,6.4 inches,"Super AMOLED, 420 nits (typ), Corning Gorilla Glass 3","64 MP, (wide), PDAF8 MP, f/2.2, 12mm (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.2, (depth)",32 MP,Exynos 9611 (10nm),,128 GB,2 SIM (Nano-SIM),"Android 10, One UI 2.5",1080 x 2340 pixels (FullHD+),,Octa-core (4x2.3 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),,,,,,,,,,,,,,,,,,6 GB,"Li-Po 6000 mAh, sạc nhanh 15W",,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
264,264,iPhone 15 Pro Max 2TB | Chính hãng VN/A,,https://cellphones.com.vn/iphone-15-pro-max-2tb-68865.html,6.7 inches,Super Retina XDR OLED,"Camera chính: 48MP, ƒ/1.78Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2Camera Tele: 12 MP, 77 mm, ƒ/2.8",,A17 Pro,Có,1 TB,,,2796 x 1290-pixel,,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,265,Apple iPhone 5S 16GB,,https://cellphones.com.vn/iphone-5s-16-gb.html,4.0 inches,,"8 MP (f/2.2, 29mm, 1/3"", 1.5 µm), tự động lấy nét, LED flash kép (2 tone)","1.2 MP (f/2.4, 31mm), 720p@30fps, nhận diện khuôn mặt, HDR, FaceTime",Apple A7 APL0698,,16 GB,Nano-SIM,11,640 x 1136 pixels,,2x 1.3 GHz Cyclone (nền tảng ARM v8),,,,,,,,,,,,,,,,,,,Li-Po 1560 mAh,,,,,,,,,,,,,,
266,266,Xiaomi Redmi Note 9 Pro,5.750.000đ,https://cellphones.com.vn/xiaomi-redmi-note-9-pro.html,6.66 inches,IPS LCD,"64 MP, f/1.9, 26mm (wide), 1/1.72"", 0.8µm, PDAF8 MP, f/2.2, 13mm (ultrawide), 1/4.0"", 1.12µm5 MP, f/2.4, (macro), 1.12µm2 MP, f/2.4, (depth)","16 MP, f/2.5, (wide), 1.0µm",Qualcomm SM7125 Snapdragon 720G (8 nm),Có,64 GB,2 SIM (Nano-SIM),Android 10.0; MIUI 11,1080 x 2400 pixels (FullHD+),Corning Gorilla Glass 5,Octa-core (2x2.3 GHz Kryo 465 Gold & 6x1.8 GHz Kryo 465 Silver),,,,,,,,,,,,,,,,,,6 GB,"Li-Po 5020 mAh battery, Fast charging 30W",,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
267,267,Samsung Galaxy A23 6GB 128GB,,https://cellphones.com.vn/samsung-galaxy-a23-6gb.html,6.6 inches,TFT LCD,50MP + 5MP + 2MP + 2MP,8MP,Snapdragon 680 (SM6225),,128 GB,,Android 11,,"1080 pixels FHD+, 90 Hz TFT",,,,,,,,,,,,,,,,,,,6 GB,5.000 mAh,,,,,,,,,,,,,,
268,268,Oppo A52,4.990.000đ,https://cellphones.com.vn/oppo-a52.html,6.5 inches,"LTPS IPS LCD, 16 triệu màu","12 MP, f/1.7, (wide), 1/2.8"", 1.25µm, PDAF8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm - Global",Qualcomm SM6125 Snapdragon 665 (11 nm),,128 GB,2 SIM (Nano-SIM),"Android 10, ColorOS 7.1",1176 x 2400 pixel,,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,,,,,,,,,,,,,,,,6 GB,"Li-Po 5000 mAh, sạc nhanh 18W",,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
269,269,Xiaomi 12X,,https://cellphones.com.vn/xiaomi-12x.html,6.28 inches,OLED,"Camera góc rộng: 50 MP, f/1.9, PDAF, OISCamera góc siêu rộng: 13 MP, f/2.4, 123Camera tele: 5 MP, AF",32 MP,Qualcomm Snapdragon ™ 870,Có,128 GB,2 SIM (Nano-SIM),"Android 12, MIUI 13",1080 x 2400 pixels (FullHD+),"1 tỉ màu, tần số quét 120Hz, Dolby Vision, HDR10+, 1100 nits (độ sáng tối đa), Corning Gorilla Glass Victus",1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585,,,,,,,,,,,,,,,,,,8 GB,Li-Po 4500 mAh,,,,,,,,,,,,,,
270,270,vivo X200 Ultra,,https://cellphones.com.vn/dien-thoai-vivo-x200-ultra.html,6.82 inches,AMOLED,"Camera chính: 50MP, f/1.7Camera telephoto: 200MP, f/2.3Camera góc siêu rộng: 50MP, f/2.0",50MP,Snapdragon 8 Elite,,256 GB,,Android 15,3168 x 1440 pixel,"Tần số quét 120Hz, Độ sáng 4500 nits, Dolby Vision, HDR Vivid",,,,,,,,,,,,,,,,,,,12 GB,"6,000mAh",,,,,,,,,,,,,,
271,271,Oppo A32,,https://cellphones.com.vn/oppo-a32.html,6.5 inches,"IPS LCD, 16 triệu màu","13 MP, (wide), PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","16 MP, f/2.0, (wide), 1/3.06"", 1.0µm",Qualcomm SM4250 Snapdragon 460 (11 nm),,64 GB,2 SIM (Nano-SIM),Android 10; ColorOS 7.2,720 x 1600 pixel,,Octa-core 1.8 GHz Kryo 240,,,,,,,,,,,,,,,,,,4 GB,5000 mAh,,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
272,272,OPPO Reno13F 4G 12GB-512GB,,https://cellphones.com.vn/dien-thoai-oppo-reno13f-4g-12gb-512gb.html,,,,,,,512 GB,,,,,,,,,,,,,,,,,,,,,,,12 GB,,,,,,,,,,,,,,,
273,273,OPPO Reno13F 4G - 8GB-128GB,,https://cellphones.com.vn/dien-thoai-oppo-reno13f-4g-8gb-128gb.html,6.67 inches,AMOLED,"Camera chính: 50MP, F/1.8Camera góc rộng: 8MP, F/2.2Camera marco: 2MP, F/2.4","32MP, f/2.4","MediaTek Helio G100, tối đa 2.2GHz",Có,128 GB,2 Nano-SIM,"ColorOS 15, nền tảng Android 15",1080 x 2400 pixels (FullHD+),"120Hz, Kính cường lực AGC DT Star21200 nits16 triệu màu",,,,,,,,,,,,,,,,,,,8 GB,5800mAh (Typ),,,,,,,,,,,,,,
274,274,ASUS ZenFone Max Pro M2 3GB,5.290.000đ,https://cellphones.com.vn/asus-zenfone-max-pro-m2-3-gb-ram-chinh-hang.html,6.3 inches,IPS FHD+,"12 MP, f/1.8, 1/2.9"", 1.25μm, PDAF5 MP, f/2.4, 1.12µm, depth sensor","13MP, f/2.0, 1.12µm",Snapdragon 660 AIE 14nm,,32 GB,2 SIM (Nano-SIM),Android 8.1 (Oreo),1080 x 2280 pixels (FullHD+),,Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),,,,,,,,,,,,,,,,,,,5000mAh,,,,,,,,,,,,,"Cảm biến vân tay trên mặt sau (mở khóa trong 0,3 giây, hỗ trợ 5 vân tay), Nhận dạng vân tay ướt, Cảm biến gia tốc, La bàn điện tử, Cảm biến tiệm cận, Cảm biến ánh sáng môi trường, Con quay hồi chuyển",
275,275,Oppo A92,5.740.000đ,https://cellphones.com.vn/oppo-a92.html,6.5 inches,IPS LCD,"Camera chính: 48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAFCamera siêu rộng: 8 MP, f/2.2, 119° (ultrawide), 1/4.0"", 1.12µmCamera xoá phông: 2 MP, f/2.4, (depth)Camera B/W: 2 MP B/W, f/2.4","16 MP, f/2.0, (wide), 1/3.1, 1.0µm",Qualcomm SM6125 Snapdragon 665 (11 nm),Không,128 GB,2 SIM (Nano-SIM),"Android 10, ColorOS 7.1",1080 x 2400 pixels (FullHD+),,Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),,,,,,,,,,,,,,,,,,8 GB,"Li-Po 5000 mAh, Fast charging 18W",,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
276,276,Bphone B40,,https://cellphones.com.vn/bphone-4.html,,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,,64 GB,2 SIM (Nano-SIM),Đang cập nhật,,,Đang cập nhật,,,,,,,,,,,,,,,,,,4 GB,Đang cập nhật,,,,,,,,,,,,,Đang cập nhật,
277,277,Samsung Galaxy A70,9.290.000đ,https://cellphones.com.vn/samsung-galaxy-a70.html,6.7 inches,"Super AMOLED 16 triệu màu, cảm ứng điện dung",32MP (f1.7) + 8MP (f2.2) + 5MP (f2.2),"32 MP, HDR, Đèn Flash trợ sáng, Tự động lấy nét, Quay video Full HD, Chế độ làm đẹp, Nhận diện khuôn mặt",Snapdragon 675,,128 GB,Nano-SIM,Android 9 Pie,1080 x 2340 pixels (FullHD+),,8 Nhân,,,,,,,,,,,,,,,,,,6 GB,"4,500mAh",,,,,,,,,,,,,,
278,278,Nokia 3.2,3.290.000đ,https://cellphones.com.vn/dien-thoai-nokia-32.html,6.26 inches,IPS LCD,"13 MP, f/2.2, 1/3"", 1.12µm, AF","5 MP, f/2.2, 27mm (wide), 1.12µm",Qualcomm SDM429 Snapdragon 429,,32 GB,2 SIM (Nano-SIM),Android 9.0 (Pie); Android One,720 x 1520 pixels,,Quad-core 1.8 GHz Cortex-A53,,,,,,,,,,,,,,,,,,3 GB,Li-Ion 4000 mAh,,,,,,,,,,,,,"Vân tay, gia tốc kế, độ gần",
279,279,Samsung Galaxy XCover6 Pro,,https://cellphones.com.vn/samsung-galaxy-xcover6-pro.html,6.6 inches,IPS LCD,"Camera gốc rộng: 50 MP, f/1.8, PDAFCamera gốc siêu rộng: 8 MP, f/2.2, 123˚","Camera gốc rộng: 13 MP, f/2.0",Snapdragon 778G 5G (6 nm),Có,128 GB,,"Android 12, One UI 4.1",1080 x 2408 pixels,,"4x2,4 GHz Kryo 670 & 4x1,8 GHz Kryo 670",,,,,,,,,,,,,,,,,,6 GB,Li-Po 4050 mAh,,,,,,,,,,,,,,
280,280,Xiaomi Redmi 13X,,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-13x.html,6.79 inches,IPS LCD,Chính 108 MP & Phụ 2 MP,13 MP,MediaTek Helio G91 Ultra 8 nhân,,128 GB,2 Nano-SIM,Xiaomi HyperOS (Android 14),1080x2460 pixels,Tần số quét 90 HzĐộ sáng tối đa 550 nitsKính cường lực Corning Gorilla Glass 3,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,,,,,,,,,,,,,,,,,,6 GB,5030 mAh,,,,,,,,,,,,,,
281,281,Xiaomi 14 12GB 512GB,,https://cellphones.com.vn/xiaomi-14-12gb-512gb.html,6.36 inches,LTPO OLED,"Camera góc rộng: 50 MP, f/1.6, 23mm, 1/1.31"", 1.2µm, dual pixel PDAF, Laser AF, OISCamera tele: 50 MP, f/2.0, 75mm, PDAF (10cm - ∞), OIS, 3.2x optical zoomCamera góc siêu rộng: 50 MP, f/2.2, 14mm, 115˚",Camera góc rộng: 32 MP,Qualcomm Snapdragon 8 Gen 3 (4 nm),Có,512 GB,2 Nano SIM hoặc 1 Nano + 1 eSIM,Android 14,,"Tần số quét 120Hz, 68 tỷ màu , Dolby Vision, HDR10+, 3000 nits (peak)",1x3.3 GHz Cortex-X4 & 5x3.2 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520,,,,,,,,,,,,,,,,,,12 GB,4610mAh,,,,,,,,,,,,,,
282,282,OPPO Find X8 mini,,https://cellphones.com.vn/dien-thoai-oppo-find-x8-mini.html,6.3 inches,OLED,"Camera chính: 50 megapixel, f/1.8Camera góc rộng: 50 megapixel, f/2.0Camera tele: 50 megapixel, f/2.8",,Dimensity 9400,,256 GB,,ColorOS 15,,"Độ phân giải 1.5K, Tần tần số quét thích ứng 1-120Hz","Tến trình 3nm, có 8 nhân với xung nhịp tối đa lên tới 3.62GHz",,,,,,,,,,,,,,,,,,12 GB,"5,600mAh",,,,,,,,,,,,,,
283,283,Oppo Reno4 SE,,https://cellphones.com.vn/oppo-reno-4-se.html,6.4 inches,"Super AMOLED, 16 triệu màu, Corning Gorilla Glass 3+, 430 nits","48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm2 MP, f/2.4, (depth)","32 MP, f/2.4, 26mm (wide), 1/2.8"", 0.8µm",MediaTek MT6873 Dimensity 800 5G (7 nm),,128 GB,2 SIM (Nano-SIM),"Android 10, ColorOS 7.2",1176 x 2400 pixel,,Octa-core (4x2.0 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),,,,,,,,,,,,,,,,,,6 GB,"Li-Po 4300 mAh, Fast charging 65W, SuperVOOC 2.0",,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
284,284,Oppo A31,4.190.000đ,https://cellphones.com.vn/oppo-a31-2020.html,6.5 inches,"IPS LCD, 16 triệu màu","Chính 12 MP & Phụ 2 MP, 2 MP",8 MP,MediaTek Helio P35 8 nhân,,128 GB,2 SIM (Nano-SIM),Android 9.0 (Pie); ColorOS 6.1,720 x 1600 pixel,,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,,,,,,,,,,,,,,,,,,4 GB,Li-Po 4230 mAh,,,,,,,,,,,,,"- Mở khóa bằng vân tay-  Mở khoá khuôn mặt- Cảm biến tiệm cận, ánh sáng, cảm ứng từ ,gia tốc- Con quay hồi chuyển, máy đếm bước",
285,285,Vsmart Joy 3 2GB,2.090.000đ,https://cellphones.com.vn/vsmart-joy-3.html,6.5 inches,IPS LCD,"Chính: 13 MPPhụ :8 MP, 2MP",8 MP,Qualcomm Snapdragon 632,,32 GB,2 SIM (Nano-SIM),Android 9,720 x 1600 pixel,,Kryo 250,,,,,,,,,,,,,,,,,,2 GB,Li-Po 5000 mAh,,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, cảm biến gia tốc, la bàn, con quay hồi chuyển",
286,286,Samsung Galaxy M51,,https://cellphones.com.vn/samsung-galaxy-m51.html,6.66 inches,"IPS LCD capacitive touchscreen, 16M colors, Corning Gorilla Glass 3","64 MP, f/2.0, 26mm (wide), 1/1.72"", 0.8µm, PDAF12 MP, f/2.2, (ultrawide)5 MP, f/2.2, (depth)","32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm",Qualcomm SDM730 Snapdragon 730 (8 nm),,128 GB,2 SIM (Nano-SIM),"Android 10, One UI 2.0",1080 x 2340 pixels (FullHD+),,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),,,,,,,,,,,,,,,,,,6 GB,"Li-Po 7000 mAh, Fast charging 25W",,,,,,,,,,,,,"Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển",
287,287,Samsung Galaxy S 2019,20.990.000đ,https://cellphones.com.vn/samsung-galaxy-s-2019.html,6.1 inches,,3 Camera,,Exynos,,128 GB,,9.0 (Pie),,,,,,,,,,,,,,,,,,,,,,3.500mAh,,,,,,,,,,,,,,
288,288,Nokia 7.2,6.190.000đ,https://cellphones.com.vn/nokia-72.html,6.3 inches,IPS LCD,"Chính 48 MP & Phụ 8 MP, 5 MP",20 MP,Qualcomm Snapdragon 660 8 nhân,Có,64 GB,2 SIM (Nano-SIM),Android 9.0 (Pie),1080 x 2340 pixels (FullHD+),HDR10Corning Gorilla Glass 3,4 nhân 2.2 GHz & 4 nhân 1.8 GHz,,,,,,,,,,,,,,,,,,4 GB,Pin chuẩn Li-Ion 3500 mAh,,,,,,,,,,,,,,
289,289,Samsung Galaxy S8 Chính hãng,15.990.000đ,https://cellphones.com.vn/galaxy-s8-cty.html,5.8 inches,"Cảm ứng điện dung Super AMOLED, 16 triệu màu","12 MP (f/1.7, 26mm, 1/2.5"", 1.4 µm, Dual Pixel PDAF), tự động lấy nét nhận diện theo giai đoạn, OIS, LED flash","8 MP (f/1.7, 25mm, 1/3.6"", 1.22 µm), tự động lấy nét, 1440p@30fps, gọi video kép, HDR tự dộng",Samsung Exynos 9 Octa 8895,,64 GB,2 SIM (Nano-SIM),7.0 (Nougat),1440 x 2960 pixels (QHD+),,4x 2.3 GHz Exynos M2 Mongoose & 4x 1.7 GHz ARM Cortex-A53,,,,,,,,,,,,,,,,,,,Li-ion 3000 mAh,,,,,,,,,,,,,"Mống mắt, vân tay, gia tốc, con quay quy hồi, khoảng cách, la bàn, phong vũ biểu, nhịp tim, SpO2",
290,290,Vsmart Joy 2 Plus 2GB,1.990.000đ,https://cellphones.com.vn/vsmart-joy-2-plus-ram-2gb.html,6.2 inches,LCD HD+,13MP - 5MP,8MP,,,32 GB,,,,,,,,,,,,,,,,,,,,,,,2 GB,4500 mAh,,,,,,,,,,,,,,
291,291,Tecno Camon 19 Pro,,https://cellphones.com.vn/tecno-camon-19-pro.html,6.8 inches,IPS LCD,"Camera góc rộng: 64MP, f/1.6, 26mm, 0.8µm, PDAF, Laser AF, OISCamera tele: 50 MP, f/2.0, 50mm, 0.64µm, PDAF, zoom 2xCamera độ sâu: 2MP, f/2.4,","Camera góc rộng: 32MP, f/2.4, 26mm, 1 / 3.4 "", 0.8µm",Mediatek MT6781 Helio G96 (12 nm),Có,128 GB,2 SIM (Nano-SIM),Android 12,2460x1080 pixels,,"2x2,05 GHz Cortex-A76 & 6x2,0 GHz Cortex-A55",,,,,,,,,,,,,,,,,,8 GB,5000  mAh,,,,,,,,,,,,,,
292,292,Tecno POP 6 Go 4G,,https://cellphones.com.vn/tecno-pop-6-go-4g.html,6.0 inches,IPS LCD,5 MP,5 MP,,,32 GB,,Android 12 Go Edition.,480 x 960 pixel,,,,,,,,,,,,,,,,,,,,2 GB,4000 mAh,,,,,,,,,,,,,,
293,293,Infinix Smart 9 3GB 64GB,,https://cellphones.com.vn/dien-thoai-infinix-smart-9.html,6.7 inches,IPS LCD,"13 MP, f/1.9, 27mm (rộng), AF","8 MP, f/2.0, (rộng)",Mediatek Helio G81,Không,64 GB,2 Nano-SIM,"Android 14, XOS 14",720 x 1600 pixel,"120Hz, 500 nits, Tỷ lệ 20:9, 262 ppi",Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),,,,,,,,,,,,,,,,,,3 GB,5000mAh,,,,,,,,,,,,,,
294,294,Nothing Phone 3,,https://cellphones.com.vn/dien-thoai-nothing-phone-3.html,6.77 inches,AMOLED,"50MP, ƒ/1.88 + 8MP, ƒ/2.2 (Góc siêu rộng) + 50M, ƒ/2.55 (tele)","50MP, ƒ/2.2",Qualcomm SD7635 Snapdragon 7s gen3,Có,256 GB,2 Nano-SIM,Nothing OS 3.1 (Based on Android 15),1080 x 2392 pixels,"120Hz, 387 ppi, 3000nit, 1.07 tỷ màu, 10 bits, NTSC 105%, DCI-P3 100%, độ tương phản 1,000,000：1, HDR10+",,,,,,,,,,,,,,,,,,,8 GB,5000mAh,,,,,,,,,,,,,,
295,295,masstel izi 230,,https://cellphones.com.vn/masstel-izi-230.html,2.4 inches,TFT LCD,"0.08 MP, Có quay phim",,SC6531E,,,,,240 x 320 pixels,"Mặt kính cong 2.5D,  kiểu dáng tai thỏ",,,,,,,,,,,,,,,,,,,,1700 mAh,,,,,,,,,,,,,,
296,296,Nubia V80 Design 8GB 128GB,3.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-v80-design.html,6.75 inches,IPS LCD,50 MP + 2 MP + 0.08 MP,16 MP,Unisoc T7280,Có,128 GB,2 Nano-SIM,,,Tần số quét 120Hz,,,,,,,,,,,,,,,,,,,8 GB,5000 mAh,,,,,,,,,,,,,,
